CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0022000006459512WH;06/07/2016;1;0,294;E;
ES0022000006459512WH;06/07/2016;2;0,274;E;
ES0022000006459512WH;06/07/2016;3;0,26;E;
ES0022000006459512WH;06/07/2016;4;0,254;E;
ES0022000006459512WH;06/07/2016;5;0,251;E;
ES0022000006459512WH;06/07/2016;6;0,249;E;
ES0022000006459512WH;06/07/2016;7;0,22;E;
ES0022000006459512WH;06/07/2016;8;0,122;E;
ES0022000006459512WH;06/07/2016;9;0,128;E;
ES0022000006459512WH;06/07/2016;10;0,139;E;
ES0022000006459512WH;06/07/2016;11;0,144;E;
ES0022000006459512WH;06/07/2016;12;0,144;E;
ES0022000006459512WH;06/07/2016;13;0,145;E;
ES0022000006459512WH;06/07/2016;14;0,134;E;
ES0022000006459512WH;06/07/2016;15;0,135;E;
ES0022000006459512WH;06/07/2016;16;0,128;E;
ES0022000006459512WH;06/07/2016;17;0,124;E;
ES0022000006459512WH;06/07/2016;18;0,124;E;
ES0022000006459512WH;06/07/2016;19;0,123;E;
ES0022000006459512WH;06/07/2016;20;0,122;E;
ES0022000006459512WH;06/07/2016;21;0,126;E;
ES0022000006459512WH;06/07/2016;22;0,183;E;
ES0022000006459512WH;06/07/2016;23;0,284;E;
ES0022000006459512WH;06/07/2016;24;0,315;E;
ES0022000006459512WH;07/07/2016;1;0,094;R;
ES0022000006459512WH;07/07/2016;2;0,117;R;
ES0022000006459512WH;07/07/2016;3;0,091;R;
ES0022000006459512WH;07/07/2016;4;0,059;R;
ES0022000006459512WH;07/07/2016;5;0,022;R;
ES0022000006459512WH;07/07/2016;6;1,168;R;
ES0022000006459512WH;07/07/2016;7;0,753;R;
ES0022000006459512WH;07/07/2016;8;0,262;R;
ES0022000006459512WH;07/07/2016;9;0,053;R;
ES0022000006459512WH;07/07/2016;10;0,095;R;
ES0022000006459512WH;07/07/2016;11;0,09;R;
ES0022000006459512WH;07/07/2016;12;0,025;R;
ES0022000006459512WH;07/07/2016;13;0,062;R;
ES0022000006459512WH;07/07/2016;14;0,095;R;
ES0022000006459512WH;07/07/2016;15;0,092;R;
ES0022000006459512WH;07/07/2016;16;0,03;R;
ES0022000006459512WH;07/07/2016;17;0,043;R;
ES0022000006459512WH;07/07/2016;18;0,096;R;
ES0022000006459512WH;07/07/2016;19;0,129;R;
ES0022000006459512WH;07/07/2016;20;0,056;R;
ES0022000006459512WH;07/07/2016;21;0,474;R;
ES0022000006459512WH;07/07/2016;22;0,317;R;
ES0022000006459512WH;07/07/2016;23;0,191;R;
ES0022000006459512WH;07/07/2016;24;0,116;R;
ES0022000006459512WH;08/07/2016;1;0,063;R;
ES0022000006459512WH;08/07/2016;2;0,098;R;
ES0022000006459512WH;08/07/2016;3;0,092;R;
ES0022000006459512WH;08/07/2016;4;0,085;R;
ES0022000006459512WH;08/07/2016;5;0,022;R;
ES0022000006459512WH;08/07/2016;6;1,155;R;
ES0022000006459512WH;08/07/2016;7;0,591;R;
ES0022000006459512WH;08/07/2016;8;0,128;R;
ES0022000006459512WH;08/07/2016;9;0,035;R;
ES0022000006459512WH;08/07/2016;10;0,026;R;
ES0022000006459512WH;08/07/2016;11;0,101;R;
ES0022000006459512WH;08/07/2016;12;0,094;R;
ES0022000006459512WH;08/07/2016;13;0,051;R;
ES0022000006459512WH;08/07/2016;14;0,026;R;
ES0022000006459512WH;08/07/2016;15;0,067;R;
ES0022000006459512WH;08/07/2016;16;0,114;R;
ES0022000006459512WH;08/07/2016;17;0,093;R;
ES0022000006459512WH;08/07/2016;18;0,031;R;
ES0022000006459512WH;08/07/2016;19;0,046;R;
ES0022000006459512WH;08/07/2016;20;0,099;R;
ES0022000006459512WH;08/07/2016;21;0,094;R;
ES0022000006459512WH;08/07/2016;22;0,065;R;
ES0022000006459512WH;08/07/2016;23;0,026;R;
ES0022000006459512WH;08/07/2016;24;0,053;R;
ES0022000006459512WH;09/07/2016;1;0,098;R;
ES0022000006459512WH;09/07/2016;2;0,094;R;
ES0022000006459512WH;09/07/2016;3;0,042;R;
ES0022000006459512WH;09/07/2016;4;0,019;R;
ES0022000006459512WH;09/07/2016;5;0,072;R;
ES0022000006459512WH;09/07/2016;6;0,088;R;
ES0022000006459512WH;09/07/2016;7;0,081;R;
ES0022000006459512WH;09/07/2016;8;0,018;R;
ES0022000006459512WH;09/07/2016;9;0,019;R;
ES0022000006459512WH;09/07/2016;10;0,089;R;
ES0022000006459512WH;09/07/2016;11;0,095;R;
ES0022000006459512WH;09/07/2016;12;0,07;R;
ES0022000006459512WH;09/07/2016;13;0,026;R;
ES0022000006459512WH;09/07/2016;14;0,045;R;
ES0022000006459512WH;09/07/2016;15;0,099;R;
ES0022000006459512WH;09/07/2016;16;0,098;R;
ES0022000006459512WH;09/07/2016;17;0,07;R;
ES0022000006459512WH;09/07/2016;18;0,028;R;
ES0022000006459512WH;09/07/2016;19;0,046;R;
ES0022000006459512WH;09/07/2016;20;0,101;R;
ES0022000006459512WH;09/07/2016;21;0,096;R;
ES0022000006459512WH;09/07/2016;22;0,077;R;
ES0022000006459512WH;09/07/2016;23;0,029;R;
ES0022000006459512WH;09/07/2016;24;0,042;R;
ES0022000006459512WH;10/07/2016;1;0,222;E;
ES0022000006459512WH;10/07/2016;2;0,21;E;
ES0022000006459512WH;10/07/2016;3;0,199;E;
ES0022000006459512WH;10/07/2016;4;0,195;E;
ES0022000006459512WH;10/07/2016;5;0,191;E;
ES0022000006459512WH;10/07/2016;6;0,189;E;
ES0022000006459512WH;10/07/2016;7;0,163;E;
ES0022000006459512WH;10/07/2016;8;0,079;E;
ES0022000006459512WH;10/07/2016;9;0,077;E;
ES0022000006459512WH;10/07/2016;10;0,088;E;
ES0022000006459512WH;10/07/2016;11;0,097;E;
ES0022000006459512WH;10/07/2016;12;0,101;E;
ES0022000006459512WH;10/07/2016;13;0,101;E;
